# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442758914e-10       7.309265059112e-15       4.815171148060e-13       2.388861703440e-19       8.628903635984e-09       4.854772096480e-10      -2.515854151607e-12 
    3       1.409375668034e-10       1.238839452137e-14       6.068719461068e-13       4.780045464123e-19       5.411291750024e-09       3.469573591978e-10      -2.211507031139e-12 
    4       1.324638934377e-10       1.446592354296e-14       6.277975858821e-13       7.971820798548e-19       3.776588576950e-09       2.639785115285e-10      -1.764116067088e-12 
    5       1.257528918577e-10       1.337973191014e-14       5.879550144247e-13       1.196705935925e-18       2.821984253237e-09       2.093815846735e-10      -1.309529286458e-12 
    6       1.208087569670e-10       1.032478441036e-14       5.173987897633e-13       1.676916504542e-18       2.205212302809e-09       1.709428966001e-10      -8.948468925199e-13 
    7       1.173342235382e-10       6.843838595793e-15       4.365330660538e-13       2.238196117701e-18       1.778233657838e-09       1.425663902484e-10      -5.443860557316e-13 
    8       1.150094176898e-10       4.045255172180e-15       3.576614997070e-13       2.880956547293e-18       1.468351563865e-09       1.208855372589e-10      -2.689334596350e-13 
    9       1.135899953947e-10       2.339962952899e-15       2.880577371241e-13       3.605625777660e-18       1.235838591985e-09       1.038809750353e-10      -7.009986720063e-14 
   10       1.128613003018e-10       1.576066393089e-15       2.317780349256e-13       4.412634574420e-18       1.056623431419e-09       9.029296920401e-11       5.745597598292e-14 
   11       1.126830767504e-10       1.351208676665e-15       1.905546771046e-13       5.302403377059e-18       8.886898960936e-10       7.950622522229e-11       1.233291889575e-13 
